candidate_id,gender,ethnicity,age,degree,field_of_study,university,gpa,years_experience,num_skills,skills,job_title_applied,prev_companies,resume_text,shortlisted
CAND-0001,Female,White,39,Bachelor,Business Administration,Manchester University,3.35,2,12,Docker|Java|Python|SQL|Project Management|Leadership|JavaScript|Team Collaboration|Deep Learning|Kubernetes|Machine Learning|NLP,Product Manager,2,"Experienced professional with 2 years of experience. Holds a Bachelor in Business Administration. Key skills include: Docker, Java, Python, SQL, Project Management, Leadership, JavaScript, Team Collaboration, Deep Learning, Kubernetes, Machine Learning, NLP. Proven track record of delivering results in dynamic environments.",1
CAND-0002,Female,White,32,Master,Psychology,Sheffield University,2.31,10,4,SQL|AWS|Machine Learning|Tableau,ML Engineer,4,"Experienced professional with 10 years of experience. Holds a Master in Psychology. Key skills include: SQL, AWS, Machine Learning, Tableau. Proven track record of delivering results in dynamic environments.",1
CAND-0003,Male,White,51,Master,Economics,Manchester University,3.1,11,12,Project Management|Team Collaboration|SQL|Java|Leadership|Excel|Git|Deep Learning|Machine Learning|AWS|Data Analysis|C++,Business Analyst,2,"Experienced professional with 11 years of experience. Holds a Master in Economics. Key skills include: Project Management, Team Collaboration, SQL, Java, Leadership, Excel, Git, Deep Learning, Machine Learning, AWS, Data Analysis, C++. Proven track record of delivering results in dynamic environments.",1
CAND-0004,Male,White,39,Master,Data Science,University of Leeds,3.07,7,5,Agile|AWS|TensorFlow|Deep Learning|Team Collaboration,Product Manager,1,"Experienced professional with 7 years of experience. Holds a Master in Data Science. Key skills include: Agile, AWS, TensorFlow, Deep Learning, Team Collaboration. Proven track record of delivering results in dynamic environments.",1
CAND-0005,Female,Black,25,Bachelor,Computer Science,Bristol University,2.8,2,6,Statistics|Team Collaboration|R|Project Management|Deep Learning|React,Data Analyst,5,"Experienced professional with 2 years of experience. Holds a Bachelor in Computer Science. Key skills include: Statistics, Team Collaboration, R, Project Management, Deep Learning, React. Proven track record of delivering results in dynamic environments.",0
CAND-0006,Male,White,37,Master,Mathematics,Cardiff University,3.8,12,8,Leadership|Data Analysis|JavaScript|React|SQL|Java|Machine Learning|Git,Business Analyst,1,"Experienced professional with 12 years of experience. Holds a Master in Mathematics. Key skills include: Leadership, Data Analysis, JavaScript, React, SQL, Java, Machine Learning, Git. Proven track record of delivering results in dynamic environments.",1
CAND-0007,Female,White,26,Bachelor,Other,Other Institution,2.5,0,4,Problem Solving|C++|Kubernetes|TensorFlow,Business Analyst,2,"Experienced professional with 0 years of experience. Holds a Bachelor in Other. Key skills include: Problem Solving, C++, Kubernetes, TensorFlow. Proven track record of delivering results in dynamic environments.",0
CAND-0008,Male,White,51,Bachelor,Mathematics,Other Institution,3.52,3,7,Deep Learning|JavaScript|NLP|Project Management|Data Analysis|Tableau|Communication,Product Manager,4,"Experienced professional with 3 years of experience. Holds a Bachelor in Mathematics. Key skills include: Deep Learning, JavaScript, NLP, Project Management, Data Analysis, Tableau, Communication. Proven track record of delivering results in dynamic environments.",1
CAND-0009,Female,Asian,53,Bachelor,Psychology,Sheffield University,2.48,7,12,SQL|Kubernetes|React|Git|C++|Data Analysis|NLP|Team Collaboration|Communication|TensorFlow|Deep Learning|Docker,Product Manager,3,"Experienced professional with 7 years of experience. Holds a Bachelor in Psychology. Key skills include: SQL, Kubernetes, React, Git, C++, Data Analysis, NLP, Team Collaboration, Communication, TensorFlow, Deep Learning, Docker. Proven track record of delivering results in dynamic environments.",1
CAND-0010,Non-binary,Hispanic,34,Master,Economics,Bristol University,2.88,14,4,Leadership|SQL|R|Python,Product Manager,4,"Experienced professional with 14 years of experience. Holds a Master in Economics. Key skills include: Leadership, SQL, R, Python. Proven track record of delivering results in dynamic environments.",1
CAND-0011,Male,White,26,Master,Computer Science,Birmingham University,2.13,1,8,SQL|JavaScript|Leadership|TensorFlow|React|Project Management|C++|Data Analysis,Business Analyst,4,"Experienced professional with 1 years of experience. Holds a Master in Computer Science. Key skills include: SQL, JavaScript, Leadership, TensorFlow, React, Project Management, C++, Data Analysis. Proven track record of delivering results in dynamic environments.",0
CAND-0012,Female,White,52,PhD,Engineering,Manchester University,2.19,13,8,Docker|Kubernetes|Agile|Java|Deep Learning|Machine Learning|Problem Solving|AWS,Business Analyst,2,"Experienced professional with 13 years of experience. Holds a PhD in Engineering. Key skills include: Docker, Kubernetes, Agile, Java, Deep Learning, Machine Learning, Problem Solving, AWS. Proven track record of delivering results in dynamic environments.",1
CAND-0013,Female,White,34,Bachelor,Other,University of Leeds,2.84,8,10,Leadership|SQL|Agile|C++|Machine Learning|Java|Problem Solving|Python|Git|Kubernetes,Software Engineer,3,"Experienced professional with 8 years of experience. Holds a Bachelor in Other. Key skills include: Leadership, SQL, Agile, C++, Machine Learning, Java, Problem Solving, Python, Git, Kubernetes. Proven track record of delivering results in dynamic environments.",1
CAND-0014,Female,White,47,Diploma,Business Administration,Cardiff University,2.0,12,7,Agile|Excel|Docker|C++|React|Data Analysis|Project Management,ML Engineer,1,"Experienced professional with 12 years of experience. Holds a Diploma in Business Administration. Key skills include: Agile, Excel, Docker, C++, React, Data Analysis, Project Management. Proven track record of delivering results in dynamic environments.",0
CAND-0015,Non-binary,Asian,25,Master,Computer Science,University of London,3.17,5,3,JavaScript|SQL|Communication,Data Scientist,4,"Experienced professional with 5 years of experience. Holds a Master in Computer Science. Key skills include: JavaScript, SQL, Communication. Proven track record of delivering results in dynamic environments.",0
CAND-0016,Male,Hispanic,47,Bachelor,Engineering,University of London,3.24,13,12,Statistics|JavaScript|R|TensorFlow|Project Management|Team Collaboration|Leadership|Problem Solving|AWS|Data Analysis|NLP|Agile,ML Engineer,3,"Experienced professional with 13 years of experience. Holds a Bachelor in Engineering. Key skills include: Statistics, JavaScript, R, TensorFlow, Project Management, Team Collaboration, Leadership, Problem Solving, AWS, Data Analysis, NLP, Agile. Proven track record of delivering results in dynamic environments.",1
CAND-0017,Male,Black,26,Bachelor,Data Science,Manchester University,3.08,8,5,Tableau|SQL|Leadership|Excel|Communication,Data Analyst,4,"Experienced professional with 8 years of experience. Holds a Bachelor in Data Science. Key skills include: Tableau, SQL, Leadership, Excel, Communication. Proven track record of delivering results in dynamic environments.",1
CAND-0018,Female,Asian,55,Bachelor,Mathematics,Manchester University,3.88,4,7,Machine Learning|Kubernetes|C++|Data Analysis|TensorFlow|Excel|Project Management,Business Analyst,2,"Experienced professional with 4 years of experience. Holds a Bachelor in Mathematics. Key skills include: Machine Learning, Kubernetes, C++, Data Analysis, TensorFlow, Excel, Project Management. Proven track record of delivering results in dynamic environments.",1
CAND-0019,Male,Asian,38,Master,Mathematics,University of London,2.18,13,7,Java|Python|R|Data Analysis|Deep Learning|TensorFlow|Communication,Business Analyst,3,"Experienced professional with 13 years of experience. Holds a Master in Mathematics. Key skills include: Java, Python, R, Data Analysis, Deep Learning, TensorFlow, Communication. Proven track record of delivering results in dynamic environments.",1
